terrain,body,Fx_peak,Fx_rms,Fy_peak,Fy_rms,Fz_peak,Fz_rms,Mx_peak,Mx_rms,My_peak,My_rms,Mz_peak,Mz_rms
flat,L_ankle_pitch_link,1259.3,61.9,1280.0,54.7,2575.4,327.4,611.3,38.3,590.6,37.9,126.8,7.6
flat,L_foot_link,1266.8,62.1,1284.0,55.0,2619.3,329.0,630.7,38.5,594.0,37.9,132.6,7.8
flat,L_hip_pitch_link,451.0,43.6,401.5,39.7,1542.6,226.8,144.9,26.5,172.3,25.3,34.0,4.1
flat,L_hip_roll_link,484.1,44.2,437.5,40.3,1592.0,234.0,150.2,27.0,176.1,25.5,36.4,4.2
flat,L_shin_link,552.7,42.5,611.2,38.1,2061.5,294.2,250.6,30.4,273.2,28.8,59.5,4.7
flat,L_thigh_link,425.0,42.5,397.3,39.1,1660.3,247.4,150.3,27.6,169.6,25.7,31.4,4.1
flat,R_ankle_pitch_link,3084.3,69.6,1899.8,55.6,4883.8,306.0,681.3,40.2,954.5,38.2,279.3,9.3
flat,R_foot_link,3093.6,69.8,1911.1,56.1,4975.5,308.0,695.6,40.4,930.9,38.1,276.1,9.4
flat,R_hip_pitch_link,484.2,41.7,491.2,37.6,2778.7,202.9,266.1,26.9,281.4,25.5,57.6,4.6
flat,R_hip_roll_link,525.8,42.6,530.6,38.3,2876.2,209.4,275.3,27.3,288.7,25.7,61.7,4.8
flat,R_shin_link,1730.2,44.8,1058.2,36.8,3766.5,268.8,419.1,32.2,500.8,28.7,150.9,5.4
flat,R_thigh_link,486.4,40.8,477.0,37.1,3003.0,221.5,271.7,28.1,269.2,25.9,51.4,4.6
flat,base_link,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,terrain,3101.5,91.4,2010.6,79.6,5666.5,549.2,56238.9,4265.8,43900.1,3976.0,28532.4,1114.6
rough,L_ankle_pitch_link,1079.8,60.7,833.1,59.3,2270.3,327.8,521.5,37.7,544.1,36.7,289.0,11.4
rough,L_foot_link,1086.1,61.1,850.1,59.9,2285.2,329.5,533.5,38.4,544.2,37.1,274.8,11.2
rough,L_hip_pitch_link,650.7,60.4,896.7,62.0,2181.3,238.5,288.8,29.2,307.1,25.8,429.6,12.3
rough,L_hip_roll_link,757.2,61.5,864.0,62.8,2234.0,244.5,292.8,29.4,312.5,25.9,440.3,12.5
rough,L_shin_link,748.2,51.4,944.0,55.8,2022.1,295.8,287.1,31.2,251.1,27.9,351.9,12.1
rough,L_thigh_link,926.9,60.6,902.9,62.5,2329.0,255.8,297.0,29.6,315.5,26.1,453.5,12.8
rough,R_ankle_pitch_link,1484.7,69.7,3202.4,75.6,3747.4,356.4,1531.6,43.0,655.3,39.9,360.3,12.6
rough,R_foot_link,1492.4,69.9,3257.1,75.9,3767.7,358.3,1565.9,43.4,655.7,40.1,322.6,12.3
rough,R_hip_pitch_link,1034.3,57.8,2041.4,68.3,2604.1,255.6,314.0,30.7,553.4,28.3,234.8,10.7
rough,R_hip_roll_link,1151.7,59.4,2200.2,70.5,2686.9,262.4,316.7,31.0,562.3,28.5,235.7,10.8
rough,R_shin_link,898.9,51.7,2900.0,70.8,3363.9,320.3,694.7,34.2,386.5,30.8,303.7,11.3
rough,R_thigh_link,1158.3,58.2,2462.8,71.9,2825.0,274.7,321.9,31.5,566.8,28.8,244.4,10.9
rough,base_link,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rough,terrain,1223.0,95.8,3566.9,102.7,4076.5,562.8,45644.6,4719.1,35094.9,5165.8,42231.3,1173.9
